IP address,Port,Epoch,JARM fingerprint,AS number,First seen
203.114.109[.]124,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,131293,2022-01-11 11:09:09 UTC
51.68.175[.]8,8080,4,,16276,2022-01-11 11:09:09 UTC
58.227.42[.]236,80,4,,9318,2022-01-11 11:09:09 UTC
45.142.114[.]231,8080,4,,44486,2022-01-11 11:09:09 UTC
178.63.25[.]185,443,4,,24940,2022-01-11 11:09:09 UTC
45.118.115[.]99,8080,4,,131717,2022-01-11 11:09:09 UTC
103.75.201[.]2,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,133496,2022-01-11 11:09:09 UTC
104.251.214[.]46,8080,4,,29802,2022-01-11 11:09:09 UTC
158.69.222[.]101,443,4,05d10d20d21d20d05c05d10d05d20d74fcf6501ae7a92319e575bfafd2a827,16276,2022-01-11 11:09:09 UTC
81.0.236[.]90,443,4,2ad2ad16d2ad2ad00042d42d00000061256d32ed7779c14686ad100544dc8d,15685,2022-01-11 11:09:09 UTC
45.118.135[.]203,7080,4,,63949,2022-01-11 11:09:09 UTC
176.104.106[.]96,8080,4,,198371,2022-01-11 11:09:09 UTC
212.237.56[.]116,7080,4,,31034,2022-01-11 11:09:09 UTC
216.158.226[.]206,443,4,05d02d20d21d20d05c05d02d05d20dd7fc4c7c6ef19b77a4ca0787979cdc13,19318,2022-01-11 11:09:09 UTC
173.212.193[.]249,8080,4,,51167,2022-01-11 11:09:09 UTC
50.116.54[.]215,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,63949,2022-01-11 11:09:09 UTC
138.185.72[.]26,8080,4,,264343,2022-01-11 11:09:09 UTC
41.76.108[.]46,8080,4,,327979,2022-01-11 11:09:09 UTC
212.237.5[.]209,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,31034,2022-01-11 11:09:09 UTC
107.182.225[.]142,8080,4,,32780,2022-01-11 11:09:09 UTC
195.154.133[.]20,443,4,,12876,2022-01-11 11:09:09 UTC
162.214.50[.]39,7080,4,,46606,2022-01-11 11:09:09 UTC
110.232.117[.]186,8080,4,,56038,2022-01-11 11:09:09 UTC
