Type,Epoch,IP,Port,Download timestamp,File SHA1,Conceptual SHA1
WebBrowserPassView,5,196.44.98.190,8080,2022-06-03 05:21:39,e99d2789910e42e07c83ceb2e52ff8d7cc6845f4,914fa8527cea6e32d21bbb8d4f95eb61e8261c3d
MailPassView,5,104.248.225.227,8080,2022-06-03 05:02:43,69ebf4041ff82b8fa6f2c5c7fc7b218a09a403aa,9f6a072ad0c68a46a1290b08344df7dc64ce8fd7
Core,5,196.44.98.190,8080,2022-06-03 03:12:12,e9edf7e943fd5e7421d9cec58ebc9c3f4a39ccb9,ba674703143a5e70cf72058496a7fe3edf6613c3
Spam,5,165.22.246.219,8080,2022-06-03 03:46:58,b5e8dd5e474cd01b1eaef99f64d8fc4f70f767f5,ecf562f378cefc2f8eb1d140e6a96c9324603a06
MailPassView,5,196.44.98.190,8080,2022-06-03 03:13:18,453f015a31024733490ae65e296e9d0435f2f0c4,9f6a072ad0c68a46a1290b08344df7dc64ce8fd7
MailPassView,5,202.29.239.162,443,2022-06-03 05:40:02,ef07b331f11dafb9284e3411bb74d46f4379def7,9f6a072ad0c68a46a1290b08344df7dc64ce8fd7
Core,5,68.183.91.111,8080,2022-06-13 11:41:54,794a13edc1d617435d96523b0946a4aca2cf9aa2,9e2486a6bf2140f4e29a9f3a0a190b3de0c6cf0a
ThunderbirdStealer,5,104.248.225.227,8080,2022-06-13 11:44:07,f27f8863894a709bc8c767d082eb43f2f4ca8b4a,397709b2f6ef0c49512d6d94b3225d65064e92ef
OutlookStealer,5,196.44.98.190,8080,2022-06-13 11:44:47,30dffff8a08ea3505e7d36de47911ea92c065be8,58f252716c451ca9b8f3e1c9f579dd3ed06e8411
ThunderbirdStealer,5,104.248.225.227,8080,2022-06-13 11:43:53,8264112d76b31f219462724827d52a9a20917f7c,397709b2f6ef0c49512d6d94b3225d65064e92ef
CreditCardStealer,5,104.248.225.227,8080,2022-06-13 11:47:15,d4f2735eb58a7d23ec15cb17f06ead6d200cbba6,4f22ae90506274a162d4c5a5390577bc391827bf
CreditCardStealer,5,104.248.225.227,8080,2022-06-13 11:47:04,ee3f27e535bce2ed31455c46951efedde4175ed9,4f22ae90506274a162d4c5a5390577bc391827bf
ThunderbirdStealer,5,202.29.239.162,443,2022-06-13 11:47:11,fbd1afabf01e2eb891f06bbc8b6afa77ad2a01fb,37a24d3d4e1db0a196a35d49fa0b8c65facbbd24
OutlookStealer,5,196.44.98.190,8080,2022-06-13 11:43:33,db4ea54f7db42702b5f67f17e7e6bcd0b6a83755,58f252716c451ca9b8f3e1c9f579dd3ed06e8411
SMBSpreader,5,104.248.225.227,8080,2022-06-13 11:46:13,a17dc7b6ce39314699243b26787e77da9185a135,97123e4d5c7326dbfdd08d4c91b8d8454d1becce
OutlookStealer,5,202.29.239.162,443,2022-06-13 11:45:47,f8d9c29df9f6f17d9151143be9aa473a696e2383,58f252716c451ca9b8f3e1c9f579dd3ed06e8411
Spam,5,54.37.106.167,8080,2022-06-13 12:22:24,283b6692b27b7ff34be836a5f8448d9999586ea8,a3062c709b81ce34b770a98c6da2960e9345d479
OutlookStealer,5,54.37.106.167,8080,2022-06-13 11:46:19,9ae40312df3e64b7eaaacfb39f56050132211492,7c208e66a5daa342df2206f9ac246a191ea9a5ba
ThunderbirdStealer,5,202.29.239.162,443,2022-06-13 11:46:40,5f9f4d6e897b0f0e1a2d0b54dda980a9a9bab2ca,37a24d3d4e1db0a196a35d49fa0b8c65facbbd24
Spam,5,202.29.239.162,443,2022-06-13 12:18:24,cca020077348988bec1bbab109025f5232dae1cb,a3062c709b81ce34b770a98c6da2960e9345d479
OutlookStealer,5,104.248.225.227,8080,2022-06-13 11:44:40,2c161b7a1e1512c35ad01bfe0e42e6e903114ed3,58f252716c451ca9b8f3e1c9f579dd3ed06e8411
MailPassView,5,104.248.225.227,8080,2022-06-13 11:43:02,239ccf874b8464c5d949b04e6155f3d896900cdc,e7002e4303b88e4911240733bdf3eb356c50ac1c
Spam,5,54.36.185.63,443,2022-06-13 12:19:56,2661881d9841df8aab720bc1ee1a57c22b6d46aa,fe90c1e1e6eaef94a046ca98d8ac874bac3918a0
Core,5,202.29.239.162,443,2022-06-13 11:41:55,e7f9e80b12d772a6f4bdfffbf2e17012f9e1a60b,9e2486a6bf2140f4e29a9f3a0a190b3de0c6cf0a
CreditCardStealer,5,202.29.239.162,443,2022-06-13 11:45:50,a84fc49c706910b9f3562aa713fc9ba93ddc84c1,4f22ae90506274a162d4c5a5390577bc391827bf
OutlookStealer,5,104.248.225.227,8080,2022-06-13 11:43:26,b80df7b38417784e736b2e3881b4664057a4682c,7c208e66a5daa342df2206f9ac246a191ea9a5ba
MailPassView,5,202.29.239.162,443,2022-06-13 12:04:05,41f0f27751d60aae8486ec3609e158f98bd67338,e7002e4303b88e4911240733bdf3eb356c50ac1c
MailPassView,5,202.29.239.162,443,2022-06-13 12:05:13,5f717c0bfbc76b6c8a99f78ea649c155cc774d0a,e7002e4303b88e4911240733bdf3eb356c50ac1c
Spam,5,196.44.98.190,8080,2022-06-13 12:16:59,f405214cca330349e84ccc2db40be45d3c0735e8,a3062c709b81ce34b770a98c6da2960e9345d479
MailPassView,5,196.44.98.190,8080,2022-06-13 11:43:20,fe62405667004dbc9e39d3a4287d5ff80e9b7d65,e7002e4303b88e4911240733bdf3eb356c50ac1c
SMBSpreader,5,202.29.239.162,443,2022-06-13 11:47:13,73e8ca098bc8455dc76f8bcc70cbe63f3d270b4a,97123e4d5c7326dbfdd08d4c91b8d8454d1becce
OutlookStealer,5,196.44.98.190,8080,2022-06-13 11:45:07,ffbdd7bfa6b04295a67dc7061e0c7e9164e1c105,58f252716c451ca9b8f3e1c9f579dd3ed06e8411
Spam,5,177.39.156.177,443,2022-06-13 12:21:09,9fe207a259cd0ef5aa7fe8b0b317fe8e9b254ab5,fe90c1e1e6eaef94a046ca98d8ac874bac3918a0
SMBSpreader,5,104.248.225.227,8080,2022-06-13 11:44:39,b5e4d1278b0d20df7bb2e977de598861ae16138e,97123e4d5c7326dbfdd08d4c91b8d8454d1becce
SMBSpreader,5,54.37.106.167,8080,2022-06-13 11:48:36,1dfa1b0e320ad90be0cd9702f34abafc396caac9,97123e4d5c7326dbfdd08d4c91b8d8454d1becce
SMBSpreader,5,104.248.225.227,8080,2022-06-13 11:46:20,ee3102e88dd74c7bf661bbd994bf041960b33552,97123e4d5c7326dbfdd08d4c91b8d8454d1becce
ThunderbirdStealer,5,196.44.98.190,8080,2022-06-13 11:45:22,553532b3839b39979331f9a77936bdae3e3e6947,397709b2f6ef0c49512d6d94b3225d65064e92ef
Spam,5,202.29.239.162,443,2022-06-13 12:20:56,14e2e0d526966e6dd2edc4166b15f0160309a5f8,a3062c709b81ce34b770a98c6da2960e9345d479
WebBrowserPassView,5,104.248.225.227,8080,2022-06-13 11:43:03,c41e4ceaa3a92573c8d98de8a0cd5d57e1bfeeaf,d3385a95ebcbf180501d3e9a2deef2d96ca80dfe
ThunderbirdStealer,5,202.29.239.162,443,2022-06-13 11:46:25,13e51f776cc353b0c9eada67df01be2a0d9c11d4,397709b2f6ef0c49512d6d94b3225d65064e92ef
Core,5,116.124.128.206,8080,2022-06-13 11:41:53,87131438db5413e44f47595fd5c93710c65621fe,9e2486a6bf2140f4e29a9f3a0a190b3de0c6cf0a
CreditCardStealer,5,104.248.225.227,8080,2022-06-13 11:47:32,7eb7fbd1fae18a623c7ac10fe0c793fe21d28ad4,4f22ae90506274a162d4c5a5390577bc391827bf
Core,5,198.199.70.22,8080,2022-06-13 11:41:45,0d1addc9ce184f29a59a4f47dc2038c766a60c4b,9e2486a6bf2140f4e29a9f3a0a190b3de0c6cf0a
ThunderbirdStealer,5,196.44.98.190,8080,2022-06-13 11:44:03,d65bc6b083fc655621f5eb969aa585044cda30db,37a24d3d4e1db0a196a35d49fa0b8c65facbbd24
MailPassView,5,104.248.225.227,8080,2022-06-13 11:42:53,3e1a3faff7622c5c7c43f44e7fc225ff52141232,e7002e4303b88e4911240733bdf3eb356c50ac1c
MailPassView,5,104.248.225.227,8080,2022-06-13 11:42:48,49c4a79930da730e0d4fe5bd5e2a2c138573b814,e7002e4303b88e4911240733bdf3eb356c50ac1c
CreditCardStealer,5,202.29.239.162,443,2022-06-13 11:49:04,bb13f61a319d5629cc2b1a9df7dac8a418f8b7cd,4f22ae90506274a162d4c5a5390577bc391827bf
ThunderbirdStealer,5,196.44.98.190,8080,2022-06-13 11:45:42,9e7924c7db4274b85b1ab83fdb472f7fe70dbd6b,397709b2f6ef0c49512d6d94b3225d65064e92ef
MailPassView,5,196.44.98.190,8080,2022-06-13 12:19:02,c8459a06ffbf147965d6f7b9e5c2ff9dc057f590,e7002e4303b88e4911240733bdf3eb356c50ac1c
WebBrowserPassView,5,196.44.98.190,8080,2022-06-13 11:43:42,65393e61da512cbf55237485aa2d06099ec3a59e,d3385a95ebcbf180501d3e9a2deef2d96ca80dfe
Core,5,104.248.225.227,8080,2022-06-13 11:41:54,355dc7ee9ce814e3a4deecf6571b3e812325ad7e,9e2486a6bf2140f4e29a9f3a0a190b3de0c6cf0a
SMBSpreader,5,202.29.239.162,443,2022-06-13 11:47:54,e0c706bb535ac55bcad517c122c359878d7a00b8,97123e4d5c7326dbfdd08d4c91b8d8454d1becce
MailPassView,5,196.44.98.190,8080,2022-06-13 11:43:03,610efac1da4f5edcb9fd33125e0592c0aa397c40,e7002e4303b88e4911240733bdf3eb356c50ac1c
WebBrowserPassView,5,104.248.225.227,8080,2022-06-13 11:43:20,42f1563f588e1d67e94cbd1ccd491c74f860e848,d3385a95ebcbf180501d3e9a2deef2d96ca80dfe
ThunderbirdStealer,5,104.248.225.227,8080,2022-06-13 11:45:09,c5306f9dded5332b1324999a1b97d38ef7fbaffe,397709b2f6ef0c49512d6d94b3225d65064e92ef
ThunderbirdStealer,5,202.29.239.162,443,2022-06-13 11:47:16,734744e8b19d7d2b57f972e001ab5ef78f6a9c69,37a24d3d4e1db0a196a35d49fa0b8c65facbbd24
ThunderbirdStealer,5,104.248.225.227,8080,2022-06-13 11:45:45,2b015fb1b68add385f32051025a0ee67343b9e7a,37a24d3d4e1db0a196a35d49fa0b8c65facbbd24
SMBSpreader,5,54.37.106.167,8080,2022-06-13 11:48:34,77e7e76de8fce093d7659b9fa96d1a9b0090fc29,97123e4d5c7326dbfdd08d4c91b8d8454d1becce
MailPassView,5,104.248.225.227,8080,2022-06-13 12:03:59,0010e327fc3f220a4f90104daf61552d3cb11e19,e7002e4303b88e4911240733bdf3eb356c50ac1c
Spam,5,202.29.239.162,443,2022-06-13 12:19:49,a9ff49087c3f42fcb12aa5dae7b7c48eb6573153,a3062c709b81ce34b770a98c6da2960e9345d479
MailPassView,5,54.37.106.167,8080,2022-06-13 12:05:50,d1b70f6459fffd615d16c71b9ad14bd81f73e2be,e7002e4303b88e4911240733bdf3eb356c50ac1c
ThunderbirdStealer,5,196.44.98.190,8080,2022-06-13 11:46:22,46425adc4d45ded9888245bc81c4efeee3c79f51,37a24d3d4e1db0a196a35d49fa0b8c65facbbd24
CreditCardStealer,5,54.37.106.167,8080,2022-06-13 11:49:34,bf5aedfeae6ccbfb896e8922b0f424f9c7e112b6,4f22ae90506274a162d4c5a5390577bc391827bf
Spam,5,165.22.246.219,8080,2022-06-13 12:19:49,f913c855b767eb17d061708b550e3ce0a905ddc3,fe90c1e1e6eaef94a046ca98d8ac874bac3918a0
Spam,5,202.29.239.162,443,2022-06-13 12:20:58,ffeaa15c2814cd51699a924452be82abe768344c,a3062c709b81ce34b770a98c6da2960e9345d479
WebBrowserPassView,5,202.29.239.162,443,2022-06-13 11:44:28,596701b74cbe991c35b35b04884fcbf079fedcf7,d3385a95ebcbf180501d3e9a2deef2d96ca80dfe
MailPassView,5,104.248.225.227,8080,2022-06-13 11:42:54,a73d56d9c58250c0f3bf0c261e8467bed252e548,e7002e4303b88e4911240733bdf3eb356c50ac1c
MailPassView,5,104.248.225.227,8080,2022-06-13 11:42:56,c492efdea1311be0403aa9cf6ec29888999e7a2c,e7002e4303b88e4911240733bdf3eb356c50ac1c
Spam,5,139.59.44.48,8080,2022-06-13 12:17:07,bc36766329d34e4732778773246eaf8e826cebd2,fe90c1e1e6eaef94a046ca98d8ac874bac3918a0
Spam,5,104.248.225.227,8080,2022-06-13 12:20:09,a997384366b3ac478665ce71efae9a9536b8361a,a3062c709b81ce34b770a98c6da2960e9345d479
SMBSpreader,5,196.44.98.190,8080,2022-06-13 11:46:50,8d02361a6c1011cb7380bf55f655cd759bca432e,97123e4d5c7326dbfdd08d4c91b8d8454d1becce
Spam,5,196.44.98.190,8080,2022-06-13 12:17:54,59dbb70846c0e69d9e022b41d164dbe23b435d46,a3062c709b81ce34b770a98c6da2960e9345d479
OutlookStealer,5,104.248.225.227,8080,2022-06-13 11:44:11,5bc0dffd7398603da64ed2b165371f932d8b68d6,7c208e66a5daa342df2206f9ac246a191ea9a5ba
MailPassView,5,202.29.239.162,443,2022-06-13 12:17:27,d422e5a3f050d38740591d5c4105f0aa8239bb75,e7002e4303b88e4911240733bdf3eb356c50ac1c
CreditCardStealer,5,196.44.98.190,8080,2022-06-13 11:48:07,670fe499ac2276d65034811bc47e1ef71c8491dc,4f22ae90506274a162d4c5a5390577bc391827bf
MailPassView,5,104.248.225.227,8080,2022-06-13 12:16:36,c98a18e49ba2a0b7992c97025385843299a9c49c,e7002e4303b88e4911240733bdf3eb356c50ac1c
Spam,5,54.37.106.167,8080,2022-06-13 12:22:30,85c8a2ededa0a4171b1483e49aca7774c0613bcb,a3062c709b81ce34b770a98c6da2960e9345d479
Spam,5,50.2.217.16,8080,2022-06-13 12:19:00,c622720a967805a3c611e2fdd3ef68006cfac380,fe90c1e1e6eaef94a046ca98d8ac874bac3918a0
WebBrowserPassView,5,196.44.98.190,8080,2022-06-13 11:44:01,f15b839d0b897275b083d6ffaf49798912b1600d,d3385a95ebcbf180501d3e9a2deef2d96ca80dfe
Core,5,139.196.72.155,8080,2022-06-13 11:41:59,c8d84b17f942b90014b35a2ff6559bbc86ef4df1,9e2486a6bf2140f4e29a9f3a0a190b3de0c6cf0a
Spam,5,150.95.20.209,8080,2022-06-13 12:22:28,0f19ad57e74775cb7b19bf7cb5c9b6e2e9e6bc05,fe90c1e1e6eaef94a046ca98d8ac874bac3918a0
CreditCardStealer,5,196.44.98.190,8080,2022-06-13 11:44:49,664d6f1d59eb00b34bea0a9a581bf63132d9c461,4f22ae90506274a162d4c5a5390577bc391827bf
ThunderbirdStealer,5,54.37.106.167,8080,2022-06-13 11:47:32,982cf4d08e7e1c2b24bbc877ad4f5c2992e555bf,397709b2f6ef0c49512d6d94b3225d65064e92ef
Spam,5,103.44.138.22,443,2022-06-13 12:21:06,572c36759fa80bafae5eb8bd0e651918c71a89d3,fe90c1e1e6eaef94a046ca98d8ac874bac3918a0
Core,5,178.62.112.199,8080,2022-06-13 11:41:45,3698daf7bf16f2368661d15533ef0ab61427f0e9,9e2486a6bf2140f4e29a9f3a0a190b3de0c6cf0a
ThunderbirdStealer,5,54.37.106.167,8080,2022-06-13 11:48:05,300ffe045ca904fa525503a34c0df07dc1b040fd,37a24d3d4e1db0a196a35d49fa0b8c65facbbd24
OutlookStealer,5,196.44.98.190,8080,2022-06-13 11:44:01,22ab892875bb1df5eb5ddb1fb65ebfbb554d0fe0,7c208e66a5daa342df2206f9ac246a191ea9a5ba
WebBrowserPassView,5,196.44.98.190,8080,2022-06-13 11:43:29,e0138999e902f20dba29eefd317aeffa84503ca8,d3385a95ebcbf180501d3e9a2deef2d96ca80dfe
MailPassView,5,104.248.225.227,8080,2022-06-13 11:43:07,78f65c5909b1c4ff254d8525dd3b07d534a9d411,e7002e4303b88e4911240733bdf3eb356c50ac1c
OutlookStealer,5,104.248.225.227,8080,2022-06-13 11:44:44,2818f65e80ee4d4b535d1b5a0005c19e973d49ed,58f252716c451ca9b8f3e1c9f579dd3ed06e8411
Spam,5,202.29.239.162,443,2022-06-13 12:17:58,2accb0648da8c2bd9b19e354d6300bb5413c0119,a3062c709b81ce34b770a98c6da2960e9345d479
Core,5,157.245.111.0,8080,2022-06-13 11:41:53,d7ac34ad48f3b7fefeec816e66a9b5ad5a960f57,9e2486a6bf2140f4e29a9f3a0a190b3de0c6cf0a
SMBSpreader,5,196.44.98.190,8080,2022-06-13 11:44:34,a2103cb1e14b1eb929614ed0d384c588e1cfc8b5,97123e4d5c7326dbfdd08d4c91b8d8454d1becce
WebBrowserPassView,5,196.44.98.190,8080,2022-06-13 11:43:00,933bfca5514f95471402f9493e5f1f4a44017613,d3385a95ebcbf180501d3e9a2deef2d96ca80dfe
Spam,5,104.248.225.227,8080,2022-06-13 12:18:54,45d300776f315fc9c9a46a24035b39422020faf1,a3062c709b81ce34b770a98c6da2960e9345d479
Spam,5,103.253.145.28,8080,2022-06-13 12:18:03,fa282c83fdeae038d785e1db3d31776cdbfd53df,fe90c1e1e6eaef94a046ca98d8ac874bac3918a0
ThunderbirdStealer,5,202.29.239.162,443,2022-06-13 11:46:04,625cbcde62e78b6e5d7a06681e2916880bfe9dc1,397709b2f6ef0c49512d6d94b3225d65064e92ef
